group,home_team,away_team,home_elo,home_form,home_comp_form,away_elo,away_form,away_comp_form,elo_diff,form_diff,comp_form_diff
A,Mexico,South Korea,1835.0,1.8228,4.4092,1784.0,0.5969,1.7374,51.0,1.2259,2.6718
A,Mexico,Czech Republic,1835.0,1.8228,4.4092,1731.0,0.1791,-0.035,104.0,1.6437,4.4442
A,Mexico,South Africa,1835.0,1.8228,4.4092,1531.0,1.1229,0.0683,304.0,0.6999,4.3409
A,South Korea,Czech Republic,1784.0,0.5969,1.7374,1731.0,0.1791,-0.035,53.0,0.41779999999999995,1.7724
A,South Korea,South Africa,1784.0,0.5969,1.7374,1531.0,1.1229,0.0683,253.0,-0.526,1.6691
A,Czech Republic,South Africa,1731.0,0.1791,-0.035,1531.0,1.1229,0.0683,200.0,-0.9438,-0.1033
B,Canada,Switzerland,1802.0,0.9283,0.5468,1897.0,1.8982,0.6218,-95.0,-0.9699000000000001,-0.07500000000000007
B,Canada,Bosnia and Herzegovina,1802.0,0.9283,0.5468,1571.0,2.2076,3.998,231.0,-1.2792999999999997,-3.4512
B,Canada,Qatar,1802.0,0.9283,0.5468,1427.0,-1.9412,-0.1444,375.0,2.8695,0.6911999999999999
B,Switzerland,Bosnia and Herzegovina,1897.0,1.8982,0.6218,1571.0,2.2076,3.998,326.0,-0.3093999999999997,-3.3762000000000003
B,Switzerland,Qatar,1897.0,1.8982,0.6218,1427.0,-1.9412,-0.1444,470.0,3.8394000000000004,0.7662
B,Bosnia and Herzegovina,Qatar,1571.0,2.2076,3.998,1427.0,-1.9412,-0.1444,144.0,4.1488,4.1424
C,Brazil,Morocco,1979.0,-0.9264,-0.8079,1830.0,3.7932,5.575,149.0,-4.7196,-6.3829
C,Brazil,Scotland,1979.0,-0.9264,-0.8079,1790.0,2.2168,4.2245,189.0,-3.1432,-5.0324
C,Brazil,Haiti,1979.0,-0.9264,-0.8079,1542.0,1.8838,-2.4198,437.0,-2.8102,1.6118999999999999
C,Morocco,Scotland,1830.0,3.7932,5.575,1790.0,2.2168,4.2245,40.0,1.5764,1.3505000000000003
C,Morocco,Haiti,1830.0,3.7932,5.575,1542.0,1.8838,-2.4198,288.0,1.9094000000000002,7.9948
C,Scotland,Haiti,1790.0,2.2168,4.2245,1542.0,1.8838,-2.4198,248.0,0.3330000000000002,6.644299999999999
D,United States,Turkey,1747.0,1.5795,1.8318,1880.0,4.467,4.8678,-133.0,-2.8874999999999997,-3.0359999999999996
D,United States,Paraguay,1747.0,1.5795,1.8318,1833.0,-0.2677,5.5498,-86.0,1.8472,-3.718
D,United States,Australia,1747.0,1.5795,1.8318,1774.0,0.0156,3.5193,-27.0,1.5638999999999998,-1.6874999999999998
D,Turkey,Paraguay,1880.0,4.467,4.8678,1833.0,-0.2677,5.5498,47.0,4.734699999999999,-0.6820000000000004
D,Turkey,Australia,1880.0,4.467,4.8678,1774.0,0.0156,3.5193,106.0,4.4514,1.3485
D,Paraguay,Australia,1833.0,-0.2677,5.5498,1774.0,0.0156,3.5193,59.0,-0.2833,2.0305000000000004
E,Germany,Ecuador,1910.0,1.9624,0.1838,1933.0,1.5777,3.0464,-23.0,0.3846999999999998,-2.8626
E,Germany,Ivory Coast,1910.0,1.9624,0.1838,1607.0,4.012,3.0663,303.0,-2.0496,-2.8825
E,Germany,Curaçao,1910.0,1.9624,0.1838,1467.0,1.3735,2.8078,443.0,0.5889,-2.6239999999999997
E,Ecuador,Ivory Coast,1933.0,1.5777,3.0464,1607.0,4.012,3.0663,326.0,-2.4342999999999995,-0.019899999999999807
E,Ecuador,Curaçao,1933.0,1.5777,3.0464,1467.0,1.3735,2.8078,466.0,0.20420000000000016,0.23860000000000037
E,Ivory Coast,Curaçao,1607.0,4.012,3.0663,1467.0,1.3735,2.8078,140.0,2.6384999999999996,0.2585000000000002
F,Japan,Netherlands,1878.0,1.9811,0.255,1959.0,-0.098,1.002,-81.0,2.0791,-0.747
F,Japan,Tunisia,1878.0,1.9811,0.255,1641.0,-1.3319,-1.9659,237.0,3.313,2.2209
F,Japan,Sweden,1878.0,1.9811,0.255,1660.0,-0.6707,0.6291,218.0,2.6518,-0.3741
F,Netherlands,Tunisia,1959.0,-0.098,1.002,1641.0,-1.3319,-1.9659,318.0,1.2339,2.9679
F,Netherlands,Sweden,1959.0,-0.098,1.002,1660.0,-0.6707,0.6291,299.0,0.5727,0.3729
F,Tunisia,Sweden,1641.0,-1.3319,-1.9659,1660.0,-0.6707,0.6291,-19.0,-0.6612000000000001,-2.5949999999999998
G,Belgium,Iran,1849.0,1.3049,0.2542,1754.0,-1.625,0.4423,95.0,2.9299,-0.18810000000000004
G,Belgium,Egypt,1849.0,1.3049,0.2542,1591.0,4.9733,2.177,258.0,-3.6684,-1.9228
G,Belgium,New Zealand,1849.0,1.3049,0.2542,1586.0,-1.7383,1.8888,263.0,3.0431999999999997,-1.6346
G,Iran,Egypt,1754.0,-1.625,0.4423,1591.0,4.9733,2.177,163.0,-6.5983,-1.7347000000000001
G,Iran,New Zealand,1754.0,-1.625,0.4423,1586.0,-1.7383,1.8888,168.0,0.11329999999999996,-1.4465
G,Egypt,New Zealand,1591.0,4.9733,2.177,1586.0,-1.7383,1.8888,5.0,6.7116,0.2882
H,Spain,Uruguay,2171.0,0.3853,0.6258,1890.0,-0.3509,-1.2065,281.0,0.7362,1.8323
H,Spain,Saudi Arabia,2171.0,0.3853,0.6258,1612.0,-0.3185,-1.4028,559.0,0.7038,2.0286
H,Spain,Cape Verde,2171.0,0.3853,0.6258,1560.0,1.4638,1.892,611.0,-1.0785,-1.2662
H,Uruguay,Saudi Arabia,1890.0,-0.3509,-1.2065,1612.0,-0.3185,-1.4028,278.0,-0.032399999999999984,0.19630000000000014
H,Uruguay,Cape Verde,1890.0,-0.3509,-1.2065,1560.0,1.4638,1.892,330.0,-1.8147,-3.0984999999999996
H,Saudi Arabia,Cape Verde,1612.0,-0.3185,-1.4028,1560.0,1.4638,1.892,52.0,-1.7823,-3.2948
I,France,Senegal,2062.0,1.1935,0.6171,1803.0,1.6724,2.9609,259.0,-0.4789000000000001,-2.3438
I,France,Norway,2062.0,1.1935,0.6171,1922.0,1.623,4.7171,140.0,-0.4295,-4.1000000000000005
I,France,Iraq,2062.0,1.1935,0.6171,1582.0,2.7259,3.2066,480.0,-1.5324000000000002,-2.5895
I,Senegal,Norway,1803.0,1.6724,2.9609,1922.0,1.623,4.7171,-119.0,0.04940000000000011,-1.7562000000000002
I,Senegal,Iraq,1803.0,1.6724,2.9609,1582.0,2.7259,3.2066,221.0,-1.0535,-0.2456999999999998
I,Norway,Iraq,1922.0,1.623,4.7171,1582.0,2.7259,3.2066,340.0,-1.1029000000000002,1.5105000000000004
J,Argentina,Austria,2113.0,-0.5047,-1.1937,1818.0,0.2456,-0.8396,295.0,-0.7503000000000001,-0.35409999999999997
J,Argentina,Algeria,2113.0,-0.5047,-1.1937,1726.0,3.9068,3.081,387.0,-4.4115,-4.2747
J,Argentina,Jordan,2113.0,-0.5047,-1.1937,1687.0,4.4076,5.3459,426.0,-4.9123,-6.5396
J,Austria,Algeria,1818.0,0.2456,-0.8396,1726.0,3.9068,3.081,92.0,-3.6612,-3.9206
J,Austria,Jordan,1818.0,0.2456,-0.8396,1687.0,4.4076,5.3459,131.0,-4.162000000000001,-6.1855
J,Algeria,Jordan,1726.0,3.9068,3.081,1687.0,4.4076,5.3459,39.0,-0.5008000000000004,-2.2649000000000004
K,Portugal,Colombia,1976.0,-0.0402,-0.1443,1998.0,1.2584,-5.0533,-22.0,-1.2986,4.909
K,Portugal,Uzbekistan,1976.0,-0.0402,-0.1443,1735.0,0.0185,0.4585,241.0,-0.0587,-0.6028
K,Portugal,DR Congo,1976.0,-0.0402,-0.1443,1616.0,4.4295,3.9017,360.0,-4.4697,-4.046
K,Colombia,Uzbekistan,1998.0,1.2584,-5.0533,1735.0,0.0185,0.4585,263.0,1.2399,-5.5118
K,Colombia,DR Congo,1998.0,1.2584,-5.0533,1616.0,4.4295,3.9017,382.0,-3.1711,-8.955
K,Uzbekistan,DR Congo,1735.0,0.0185,0.4585,1616.0,4.4295,3.9017,119.0,-4.411,-3.4432
L,England,Croatia,2042.0,0.8263,3.3188,1933.0,0.6216,2.0336,109.0,0.2047,1.2852000000000001
L,England,Ghana,2042.0,0.8263,3.3188,1509.0,1.3552,1.9473,533.0,-0.5288999999999999,1.3715
L,England,Panama,2042.0,0.8263,3.3188,1742.0,-0.1222,1.9939,300.0,0.9485,1.3249
L,Croatia,Ghana,1933.0,0.6216,2.0336,1509.0,1.3552,1.9473,424.0,-0.7335999999999999,0.08629999999999982
L,Croatia,Panama,1933.0,0.6216,2.0336,1742.0,-0.1222,1.9939,191.0,0.7438,0.039699999999999847
L,Ghana,Panama,1509.0,1.3552,1.9473,1742.0,-0.1222,1.9939,-233.0,1.4774,-0.046599999999999975
