team,elo,form,comp_form
Spain,2171.0,0.3853,0.6258
Argentina,2113.0,-0.5047,-1.1937
France,2062.0,1.1935,0.6171
England,2042.0,0.8263,3.3188
Colombia,1998.0,1.2584,-5.0533
Brazil,1979.0,-0.9264,-0.8079
Portugal,1976.0,-0.0402,-0.1443
Netherlands,1959.0,-0.098,1.002
Ecuador,1933.0,1.5777,3.0464
Croatia,1933.0,0.6216,2.0336
Norway,1922.0,1.623,4.7171
Germany,1910.0,1.9624,0.1838
Switzerland,1897.0,1.8982,0.6218
Uruguay,1890.0,-0.3509,-1.2065
Turkey,1880.0,4.467,4.8678
Japan,1878.0,1.9811,0.255
Belgium,1849.0,1.3049,0.2542
Mexico,1835.0,1.8228,4.4092
Paraguay,1833.0,-0.2677,5.5498
Morocco,1830.0,3.7932,5.575
Austria,1818.0,0.2456,-0.8396
Senegal,1803.0,1.6724,2.9609
Canada,1802.0,0.9283,0.5468
Scotland,1790.0,2.2168,4.2245
South Korea,1784.0,0.5969,1.7374
Australia,1774.0,0.0156,3.5193
Iran,1754.0,-1.625,0.4423
United States,1747.0,1.5795,1.8318
Panama,1742.0,-0.1222,1.9939
Uzbekistan,1735.0,0.0185,0.4585
Czech Republic,1731.0,0.1791,-0.035
Algeria,1726.0,3.9068,3.081
Jordan,1687.0,4.4076,5.3459
Sweden,1660.0,-0.6707,0.6291
Tunisia,1641.0,-1.3319,-1.9659
DR Congo,1616.0,4.4295,3.9017
Saudi Arabia,1612.0,-0.3185,-1.4028
Ivory Coast,1607.0,4.012,3.0663
Egypt,1591.0,4.9733,2.177
New Zealand,1586.0,-1.7383,1.8888
Iraq,1582.0,2.7259,3.2066
Bosnia and Herzegovina,1571.0,2.2076,3.998
Cape Verde,1560.0,1.4638,1.892
Haiti,1542.0,1.8838,-2.4198
South Africa,1531.0,1.1229,0.0683
Ghana,1509.0,1.3552,1.9473
Curaçao,1467.0,1.3735,2.8078
Qatar,1427.0,-1.9412,-0.1444
