team,elo
Brazil,1259.4096093052829
Germany,1235.7356821706735
Spain,1227.5820022620833
Argentina,1215.7932400792574
England,1201.495863044097
France,1196.6371387845616
Italy,1191.372628983914
Netherlands,1185.0114867568495
Mexico,1164.4887929301328
Iran,1158.5096242964175
Portugal,1151.6903266431334
South Korea,1142.9607080372336
Japan,1131.0705021818474
Egypt,1129.2208330469603
Ivory Coast,1127.541569579277
Nigeria,1123.3231920574003
Morocco,1122.3663996443365
United States,1116.6046383692753
Russia,1116.3720148344894
Belgium,1116.1197248762935
Australia,1116.0204768997744
Croatia,1113.192477206787
Senegal,1109.291087593582
Cameroon,1100.2646064235653
Sweden,1100.261540473186
Uruguay,1097.062006190819
Algeria,1090.3852546328849
Denmark,1087.3727994638357
Ghana,1084.8988386171557
Saudi Arabia,1084.0701290467352
Tunisia,1079.5295415992841
Iraq,1073.0679289586515
Poland,1070.366725457626
Czech Republic,1069.0762405490602
Romania,1067.2718689283645
Colombia,1066.7206893197185
China,1066.5788270321254
Uzbekistan,1065.8296452909483
South Africa,1064.42391047761
Costa Rica,1063.224920913192
Yugoslavia,1055.419584888392
Switzerland,1054.8704168543495
Scotland,1054.8407330453422
Zambia,1054.2326644707118
Ukraine,1054.2284995724135
Czechoslovakia,1052.0634340590354
Mali,1049.985384375418
Hungary,1048.3336397804874
Austria,1048.3289008695526
Qatar,1047.7869794137368
Turkey,1046.9854489281777
Serbia,1046.0467526287819
Jersey,1042.1021570889002
Republic of Ireland,1038.3018332210415
United Arab Emirates,1037.2784158982488
New Zealand,1037.0359328351005
DR Congo,1034.6916865576777
Jordan,1033.9488943888812
Guernsey,1033.3882674579597
German DR,1030.6498535161675
Greece,1030.4239362173378
Canada,1029.3166672091625
Kuwait,1027.6452816731937
Norway,1026.8693787620925
Oman,1025.7391902724048
Slovakia,1023.7671254652582
Tahiti,1021.7096062071271
Uganda,1018.4712441946873
New Caledonia,1018.372030639338
Guinea,1018.1621894842427
Honduras,1016.6467920007914
Chile,1015.3288326415128
Basque Country,1013.4214576507736
Angola,1011.8480142639039
Bahrain,1011.7162395891409
Syria,1011.6017241488296
Burkina Faso,1011.3856968621831
Padania,1011.2026415643223
North Korea,1011.0374931174292
Panama,1010.7109964487942
Jamaica,1010.2856702433239
Paraguay,1009.3637240851015
Ynys Môn,1008.9876847343011
Haiti,1008.6988237089886
Isle of Man,1008.0503969189451
Cape Verde,1007.9918529921654
Gabon,1006.6824943038318
Suriname,1006.2385206089228
Northern Cyprus,1006.2180860298146
Martinique,1005.6810074592154
Isle of Wight,1005.6580736750396
Occitania,1005.4693891404892
Thailand,1005.0002633704926
Abkhazia,1004.9573263961636
Andalusia,1003.6337070888168
Iraqi Kurdistan,1003.499429879443
Rhodes,1003.0298709531535
Ellan Vannin,1002.4848849912239
Trinidad and Tobago,1002.4255109526815
Catalonia,1002.2548386699151
Kernow,1002.1964742248082
County of Nice,1002.0122512458112
Kárpátalja,1002.0083288284491
Yorkshire,1001.9966669716412
Réunion,1001.9593354298668
Tamil Eelam,1001.9579788947084
Kurdistan,1001.9213636893322
Guatemala,1001.669956769671
Corsica,1001.6221162171465
Menorca,1001.558575837458
Artsakh,1001.5079137645617
Brittany,1001.4780361444848
Bosnia and Herzegovina,1001.0508752554318
Panjab,1001.0276590535693
Arameans Suryoye,1001.0042633936459
Maule Sur,1000.9990401304897
Cascadia,1000.9985652405929
Slovenia,1000.9871042165952
Canary Islands,1000.828222767435
Tajikistan,1000.6693267817825
Galicia,1000.5822727977013
Chameria,1000.5009852682941
Biafra,1000.5009630524906
Asturias,1000.5009589490455
Surrey,1000.4990387252476
Parishes of Jersey,1000.4990361793448
Elba Island,1000.4951663119798
Quebec,1000.4936954574273
Franconia,1000.4907068586749
Crimea,1000.4861705808509
Sealand,1000.3691398474406
Silesia,1000.0485934980046
Donetsk PR,1000.0062524503468
Matabeleland,1000.0016567705512
Central Spain,1000.0009580290232
Mapuche,1000.0004797050806
Saugeais,999.9985280432227
United Koreans in Japan,999.9972782515607
Délvidék,999.9970916585414
Felvidék,999.9711813991262
Åland Islands,999.6686629034699
Madrid,999.5030093622199
Cilento,999.5004842658983
Somaliland,999.5003234236975
Seborga,999.4998743308357
Ryūkyū,999.4995274112579
Yoruba Nation,999.499522350141
Luhansk PR,999.4972266305916
West Papua,999.4951700879019
Hmong,999.493265593161
East Turkestan,999.4932397442266
Republic of St. Pauli,999.4612945145084
Saint Barthélemy,999.4106075120754
Guadeloupe,999.0577338810467
Western Armenia,999.0171013667687
Niue,999.0123597653683
Kabylia,999.0010055938137
Chechnya,999.0009570535311
Aymara,999.0004801644297
Monaco,998.9922447768521
Ticino,998.9903596300107
Palau,998.9746079382392
Marshall Islands,998.9433256455634
Găgăuzia,998.939840301814
South Yemen,998.5965580366816
Romani people,998.5151563548659
Sápmi,998.5002795164336
Manchukuo,998.4889137492294
Gozo,998.1235120473563
Gotland,998.0720989956071
South Ossetia,998.0448450352911
Western Isles,998.0389029291944
Western Sahara,998.0131369585753
Two Sicilies,998.0024838353622
Sark,997.9951802068252
Vatican City,997.9742321251271
Zimbabwe,997.6556178396817
Micronesia,997.5088623678304
Ambazonia,997.5033528082789
Székely Land,997.0890972959292
Mayotte,997.0856176604824
Barawa,997.018092238233
Provence,997.0107348703426
Saarland,996.8619274262944
Shetland,996.77488794611
North Vietnam,996.6088378430948
Darfur,996.5107857526431
Saint Pierre and Miquelon,996.4836342055032
Western Australia,996.4640616537373
Saint Helena,996.0747748865675
Chagos Islands,996.0083364917066
Israel,995.7670222192105
Fiji,995.6449169371374
Orkney,995.5643201764987
Raetia,995.4800636741543
Wales,995.1632884167354
Vietnam Republic,995.1379114816991
Hitra,994.9907992942001
Kiribati,994.9539749476567
Kosovo,994.8805664299823
Bonaire,993.2952589941145
Wallis Islands and Futuna,993.0878576340255
Sint Maarten,992.182277687668
Greenland,991.8166363606364
Tibet,991.5584064110512
Vietnam,991.5099811148311
Libya,991.4656812345954
Dominican Republic,991.2342531363
Tuvalu,990.4360665931392
Saint Martin,990.2246207188297
Saare County,990.1932609716272
Falkland Islands,990.0534351201147
Saint Kitts and Nevis,990.0106733619433
Northern Mariana Islands,989.8484235240127
Yemen DPR,989.7135211203467
Frøya,989.6557572624371
Bulgaria,989.4704098679376
Montenegro,988.4778334947923
Turkmenistan,987.9757921918994
Malaysia,986.9526803948401
Solomon Islands,986.8639828309442
Papua New Guinea,986.7398557828119
Kenya,986.719582571158
French Guiana,984.5268663701205
Curaçao,983.7960873381573
Palestine,983.7583623729835
Madagascar,981.9646385450915
Bermuda,979.9169386061424
Montserrat,979.2762507586237
Turks and Caicos Islands,978.8910536980302
Myanmar,978.7345146981955
Samoa,978.0465213569488
Tonga,977.6127327183201
Lebanon,977.1323031018229
Equatorial Guinea,976.2396781079093
Ecuador,975.6297263994805
Kyrgyzstan,974.9754734799282
Saint Lucia,974.9553464099654
Bahamas,974.6390599353716
Cook Islands,974.45003310274
Eritrea,974.362683382253
Saint Vincent and the Grenadines,974.3609261477642
Indonesia,973.7397153512358
Mozambique,973.4562343995527
Peru,973.3239528481338
Sierra Leone,972.9308171532125
Gambia,971.85209492105
Comoros,970.9862983895345
El Salvador,970.6238025949058
Puerto Rico,969.4749591415583
Guyana,969.2415534596161
Rwanda,969.1311542150485
North Macedonia,968.8078388059715
Congo,968.7272497533485
Belize,968.3254258399946
Burundi,966.2237686281674
Grenada,966.2041633465068
Mongolia,966.1290334581075
Malawi,965.1384916136246
Antigua and Barbuda,964.9821796133438
Guinea-Bissau,964.4833593482567
Zanzibar,964.244503478325
Barbados,963.9027741197974
American Samoa,963.8438799004389
Sudan,963.4640312897965
Afghanistan,963.0977009923515
South Sudan,962.8827404258936
Togo,962.8270138233286
Cuba,962.747012783572
Cayman Islands,962.5863820982698
United States Virgin Islands,962.4865044852718
Georgia,962.2505824016471
India,961.4501658535037
Aruba,961.3711257831393
Central African Republic,960.0045880109935
Vanuatu,959.955169121662
Dominica,959.5175677881863
Benin,958.9064557972579
Ethiopia,958.2375784521697
British Virgin Islands,956.702932292294
São Tomé and Príncipe,955.5924429780617
Namibia,955.0001240738645
Chad,954.7842116442282
Guam,952.8725913824776
Liberia,951.7349176101121
Belarus,951.5752344653138
Anguilla,950.631129243547
Hong Kong,950.1323864216239
Botswana,949.702071798118
Northern Ireland,949.593953940908
Timor-Leste,949.118888875863
Niger,946.3186585919345
Iceland,945.3479071864407
Singapore,944.5098802177623
Alderney,943.8041522755784
Brunei,943.3351423824437
Somalia,943.2491647172125
Tanzania,943.0048717778722
Bhutan,941.8772109339118
Mauritania,941.8634054396609
Nicaragua,941.0489672707117
Philippines,940.6580349469491
Kazakhstan,939.7356471719185
Maldives,938.489976216603
Eswatini,938.3384393088104
Lesotho,937.0771721229387
Yemen,936.9226039216334
Finland,936.2326359117911
Gibraltar,934.3196729565838
Albania,934.236359503851
Armenia,934.134608963462
Djibouti,933.4469968434264
Laos,931.7955452156987
Macau,927.7769428161116
Mauritius,926.8066050536589
Bangladesh,926.7205666759382
Latvia,926.0501210620904
Seychelles,925.0962172185567
Sri Lanka,921.9653520254668
Nepal,920.7564311213888
Cambodia,920.6488449548768
Venezuela,920.4733128538119
Taiwan,917.7441674018672
Lithuania,917.1264118654191
Pakistan,916.7991988350028
Azerbaijan,905.7591990540719
Estonia,903.7601302819168
Moldova,902.2448103687435
Bolivia,889.0159250821455
Faroe Islands,878.526054593407
Cyprus,866.3714602555891
Andorra,854.980994222884
Liechtenstein,846.1914587062731
Malta,816.432081291392
San Marino,815.3493827064009
Luxembourg,805.2267935362341
