team,team_code,association,fifa_rank,fifa_elo
Argentina,ARG,CONMEBOL,1,1876.118331
Spain,ESP,UEFA,2,1873.013187
France,FRA,UEFA,3,1869.428449
England,ENG,UEFA,4,1827.048678
Portugal,POR,UEFA,5,1766.177547
Brazil,BRA,CONMEBOL,6,1765.856297
Morocco,MAR,CAF,7,1755.100232
Netherlands,NED,UEFA,8,1751.097835
Belgium,BEL,UEFA,9,1742.235945
Germany,GER,UEFA,10,1735.771984
Croatia,CRO,UEFA,11,1714.865572
Italy,ITA,UEFA,12,1704.733836
Colombia,COL,CONMEBOL,13,1698.351858
Mexico,MEX,CONCACAF,14,1687.481759
Senegal,SEN,CAF,15,1686.412769
Uruguay,URU,CONMEBOL,16,1673.068603
United States,USA,CONCACAF,17,1671.2341
Japan,JPN,AFC,18,1661.576187
Switzerland,SUI,UEFA,19,1650.064179
Iran,IRN,AFC,20,1619.58163
Denmark,DEN,UEFA,21,1619.474248
Turkey,TUR,UEFA,22,1605.730921
Ecuador,ECU,CONMEBOL,23,1598.51582
Austria,AUT,UEFA,24,1597.404087
South Korea,KOR,AFC,25,1591.630886
Nigeria,NGA,CAF,26,1586.688586
Australia,AUS,AFC,27,1579.34264
Algeria,ALG,CAF,28,1571.033293
Egypt,EGY,CAF,29,1562.367246
Canada,CAN,CONCACAF,30,1559.479301
Norway,NOR,UEFA,31,1557.437664
Ukraine,UKR,UEFA,32,1549.287173
Ivory Coast,CIV,CAF,33,1540.869533
Panama,PAN,CONCACAF,34,1539.155509
Russia,RUS,UEFA,35,1527.237131
Poland,POL,UEFA,36,1526.183359
Wales,WAL,UEFA,37,1516.946629
Sweden,SWE,UEFA,38,1509.785392
Czech Republic,CZE,UEFA,39,1505.737856
Paraguay,PAR,CONMEBOL,40,1505.349689
Hungary,HUN,UEFA,41,1504.135797
Scotland,SCO,UEFA,42,1503.34027
Serbia,SRB,UEFA,43,1502.133186
Cameroon,CMR,CAF,44,1481.235245
DR Congo,COD,CAF,45,1479.684122
Tunisia,TUN,CAF,46,1476.405088
Slovakia,SVK,UEFA,47,1473.660727
Greece,GRE,UEFA,48,1473.187305
Venezuela,VEN,CONMEBOL,49,1464.303811
Uzbekistan,UZB,AFC,50,1461.208132
Peru,PER,CONMEBOL,51,1459.390555
Costa Rica,CRC,CONCACAF,52,1457.00228
Romania,ROU,UEFA,53,1455.894657
Mali,MLI,CAF,54,1455.586659
Chile,CHI,CONMEBOL,55,1452.939983
Iraq,IRQ,AFC,56,1451.153466
Qatar,QAT,AFC,57,1450.307729
Republic of Ireland,IRL,UEFA,58,1441.096901
Slovenia,SVN,UEFA,59,1441.087158
South Africa,RSA,CAF,60,1428.379282
Saudi Arabia,KSA,AFC,61,1421.538339
Burkina Faso,BFA,CAF,62,1408.541965
Jordan,JOR,AFC,63,1387.738222
Bosnia and Herzegovina,BIH,UEFA,64,1387.215771
Honduras,HON,CONCACAF,65,1378.970301
Albania,ALB,UEFA,66,1376.033234
Cape Verde,CPV,CAF,67,1371.10798
United Arab Emirates,UAE,AFC,68,1370.469434
North Macedonia,MKD,UEFA,69,1369.159317
Northern Ireland,NIR,UEFA,70,1366.564198
Jamaica,JAM,CONCACAF,71,1357.840144
Georgia,GEO,UEFA,72,1355.261687
Ghana,GHA,CAF,73,1346.881205
Iceland,ISL,UEFA,74,1343.920201
Finland,FIN,UEFA,75,1341.922408
Israel,ISR,UEFA,76,1333.904007
Bolivia,BOL,CONMEBOL,77,1325.995377
Kosovo,KOS,UEFA,78,1319.120924
Oman,OMA,AFC,79,1306.901717
Montenegro,MNE,UEFA,80,1301.977191
Guinea,GUI,CAF,81,1295.598845
Curaçao,CUW,CONCACAF,82,1294.76909
Haiti,HAI,CONCACAF,83,1293.096585
Syria,SYR,AFC,84,1283.051902
New Zealand,NZL,OFC,85,1275.581062
Gabon,GAB,CAF,86,1272.508139
Bulgaria,BUL,UEFA,87,1271.683325
Uganda,UGA,CAF,88,1264.090591
Angola,ANG,CAF,89,1262.219698
Benin,BEN,CAF,90,1258.224853
Zambia,ZAM,CAF,91,1255.821846
China,CHN,AFC,92,1254.848285
Bahrain,BHR,AFC,93,1254.406799
Thailand,THA,AFC,94,1250.763879
Palestine,PLE,AFC,95,1244.216499
Belarus,BLR,UEFA,96,1241.324607
Guatemala,GUA,CONCACAF,97,1238.74375
Luxembourg,LUX,UEFA,98,1232.81815
Vietnam,VIE,AFC,99,1225.67943
Tajikistan,TJK,AFC,100,1225.518979
El Salvador,SLV,CONCACAF,101,1225.344607
Mozambique,MOZ,CAF,102,1224.311107
Trinidad and Tobago,TRI,CONCACAF,103,1221.951833
Madagascar,MAD,CAF,104,1202.689766
