date,team,rating,change
2025-12-13,Spain,2171.0,0
2025-12-13,Argentina,2113.0,0
2025-12-13,France,2062.0,0
2025-12-13,England,2042.0,0
2025-12-13,Colombia,1998.0,0
2025-12-13,Brazil,1979.0,0
2025-12-13,Portugal,1976.0,0
2025-12-13,Netherlands,1959.0,0
2025-12-13,Ecuador,1933.0,0
2025-12-13,Croatia,1933.0,0
2025-12-13,Norway,1922.0,0
2025-12-13,Germany,1910.0,0
2025-12-13,Switzerland,1897.0,0
2025-12-13,Uruguay,1890.0,0
2025-12-13,Turkey,1880.0,0
2025-12-13,Japan,1878.0,0
2025-12-13,Denmark,1864.0,0
2025-12-13,Italy,1859.0,0
2025-12-13,Belgium,1849.0,0
2025-12-13,Mexico,1835.0,0
2025-12-13,Paraguay,1833.0,0
2025-12-13,Morocco,1830.0,0
2025-12-13,Austria,1818.0,0
2025-12-13,Senegal,1803.0,0
2025-12-13,Canada,1802.0,0
2025-12-13,Ukraine,1802.0,0
2025-12-13,Scotland,1790.0,0
2025-12-13,South Korea,1784.0,0
2025-12-13,Russia,1782.0,0
2025-12-13,Australia,1774.0,0
2025-12-13,Serbia,1769.0,0
2025-12-13,Greece,1761.0,0
2025-12-13,Iran,1754.0,0
2025-12-13,United States,1747.0,0
2025-12-13,Panama,1742.0,0
2025-12-13,Poland,1735.0,0
2025-12-13,Uzbekistan,1735.0,0
2025-12-13,Czech Republic,1731.0,0
2025-12-13,Chile,1731.0,0
2025-12-13,Algeria,1726.0,0
2025-12-13,Wales,1715.0,0
2025-12-13,Venezuela,1715.0,0
2025-12-13,Kosovo,1714.0,0
2025-12-13,Hungary,1698.0,0
2025-12-13,Peru,1698.0,0
2025-12-13,Slovenia,1695.0,0
2025-12-13,Republic of Ireland,1688.0,0
2025-12-13,Slovakia,1687.0,0
2025-12-13,Jordan,1687.0,0
2025-12-13,Bolivia,1675.0,0
2025-12-13,Albania,1664.0,0
2025-12-13,Sweden,1660.0,0
2025-12-13,Georgia,1650.0,0
2025-12-13,Romania,1642.0,0
2025-12-13,Tunisia,1641.0,0
2025-12-13,Costa Rica,1633.0,0
2025-12-13,Israel,1631.0,0
2025-12-13,Nigeria,1627.0,0
2025-12-13,DR Congo,1616.0,0
2025-12-13,Mali,1612.0,0
2025-12-13,Saudi Arabia,1612.0,0
2025-12-13,Ivory Coast,1607.0,0
2025-12-13,Northern Ireland,1602.0,0
2025-12-13,North Macedonia,1592.0,0
2025-12-13,Egypt,1591.0,0
2025-12-13,New Zealand,1586.0,0
2025-12-13,Iraq,1582.0,0
2025-12-13,Bosnia and Herzegovina,1571.0,0
2025-12-13,Honduras,1567.0,0
2025-12-13,Iceland,1566.0,0
2025-12-13,Angola,1566.0,0
2025-12-13,Cape Verde,1560.0,0
2025-12-13,Cameroon,1559.0,0
2025-12-13,United Arab Emirates,1549.0,0
2025-12-13,Burkina Faso,1547.0,0
2025-12-13,Haiti,1542.0,0
2025-12-13,South Africa,1531.0,0
2025-12-13,Guatemala,1528.0,0
2025-12-13,Jamaica,1527.0,0
2025-12-13,Finland,1509.0,0
2025-12-13,Ghana,1509.0,0
2025-12-13,Belarus,1496.0,0
2025-12-13,Oman,1490.0,0
2025-12-13,Syria,1486.0,0
2025-12-13,Guinea,1485.0,0
2025-12-13,Palestine,1470.0,0
2025-12-13,Curaçao,1467.0,0
2025-12-13,Gabon,1467.0,0
2025-12-13,Northern Cyprus,1456.0,0
2025-12-13,Bulgaria,1452.0,0
2025-12-13,Montenegro,1444.0,0
2025-12-13,Suriname,1441.0,0
2025-12-13,Equatorial Guinea,1437.0,0
2025-12-13,Benin,1436.0,0
2025-12-13,Uganda,1433.0,0
2025-12-13,Qatar,1427.0,0
2025-12-13,Kurdistan,1425.0,0
2025-12-13,Gambia,1424.0,0
2025-12-13,Libya,1424.0,0
2025-12-13,Bahrain,1417.0,0
2025-12-13,Kazakhstan,1410.0,0
2025-12-13,China,1403.0,0
2025-12-13,Niger,1403.0,0
2025-12-13,Trinidad and Tobago,1402.0,0
2025-12-13,Luxembourg,1395.0,0
2025-12-13,Armenia,1389.0,0
2025-12-13,Mozambique,1389.0,0
2025-12-13,Faroe Islands,1380.0,0
2025-12-13,North Korea,1376.0,0
2025-12-13,Madagascar,1369.0,0
2025-12-13,Thailand,1367.0,0
2025-12-13,Zambia,1364.0,0
2025-12-13,Estonia,1359.0,0
2025-12-13,Comoros,1359.0,0
2025-12-13,Zimbabwe,1352.0,0
2025-12-13,Sudan,1352.0,0
2025-12-13,Reunion,1345.0,0
2025-12-13,Kenya,1344.0,0
2025-12-13,Sierra Leone,1344.0,0
2025-12-13,Indonesia,1341.0,0
2025-12-13,Martinique,1340.0,0
2025-12-13,Togo,1340.0,0
2025-12-13,Azerbaijan,1339.0,0
2025-12-13,Guadeloupe,1338.0,0
2025-12-13,Lebanon,1332.0,0
2025-12-13,Kuwait,1330.0,0
2025-12-13,Vietnam,1329.0,0
2025-12-13,Nicaragua,1328.0,0
2025-12-13,Tanzania,1325.0,0
2025-12-13,El Salvador,1324.0,0
2025-12-13,Zanzibar,1319.0,0
2025-12-13,Botswana,1319.0,0
2025-12-13,Malaysia,1314.0,0
2025-12-13,Kyrgyzstan,1313.0,0
2025-12-13,Namibia,1311.0,0
2025-12-13,Mauritania,1310.0,0
2025-12-13,Rwanda,1310.0,0
2025-12-13,Cyprus,1302.0,0
2025-12-13,Liberia,1299.0,0
2025-12-13,Tajikistan,1297.0,0
2025-12-13,New Caledonia,1295.0,0
2025-12-13,Dominican Republic,1294.0,0
2025-12-13,Latvia,1286.0,0
2025-12-13,Malta,1279.0,0
2025-12-13,Lithuania,1276.0,0
2025-12-13,Guyana,1275.0,0
2025-12-13,Ethiopia,1264.0,0
2025-12-13,Malawi,1252.0,0
2025-12-13,Guinea-Bissau,1244.0,0
2025-12-13,Burundi,1238.0,0
2025-12-13,Central African Republic,1238.0,0
2025-12-13,Cuba,1230.0,0
2025-12-13,French Guiana,1221.0,0
2025-12-13,Turkmenistan,1217.0,0
2025-12-13,Mayotte,1216.0,0
2025-12-13,Lesotho,1215.0,0
2025-12-13,Eswatini,1210.0,0
2025-12-13,Congo,1206.0,0
2025-12-13,Tahiti,1178.0,0
2025-12-13,Saint Vincent and the Grenadines,1174.0,0
2025-12-13,Philippines,1155.0,0
2025-12-13,Yemen,1150.0,0
2025-12-13,Eritrea,1141.0,0
2025-12-13,Hong Kong,1136.0,0
