date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,importance,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1872-11-30,Scotland,England,0,0,Friendly,Glasgow,Scotland,False,1.0,1000.0,1000.0,1000.0,1000.0
1873-03-08,England,Scotland,4,2,Friendly,London,England,False,1.0,1000.0,1000.0,1000.5,999.5
1874-03-07,Scotland,England,2,1,Friendly,Glasgow,Scotland,False,1.0,999.5,1000.5,1000.0009594092779,999.9990405907221
1875-03-06,England,Scotland,2,2,Friendly,London,England,False,1.0,999.9990405907221,1000.0009594092779,999.9990424316567,1000.0009575683433
1876-03-04,Scotland,England,3,0,Friendly,Glasgow,Scotland,False,1.0,1000.0009575683433,999.9990424316567,1000.5009557309412,999.4990442690588
1876-03-25,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False,1.0,1000.5009557309412,1000.0,1001.0004751089233,999.5004806220179
1877-03-03,England,Scotland,1,3,Friendly,London,England,False,1.0,999.4990442690588,1001.0004751089233,999.0004847535193,1001.4990346244628
1877-03-05,Wales,Scotland,0,2,Friendly,Wrexham,Wales,False,1.0,999.5004806220179,1001.4990346244628,999.0023980462242,1001.9971172002564
1878-03-02,Scotland,England,7,2,Friendly,Glasgow,Scotland,False,1.0,1001.9971172002564,999.0004847535193,1002.4942422314405,998.5033597223353
1878-03-23,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False,1.0,1002.4942422314405,999.0023980462242,1002.9908921697518,998.505748107913
1879-01-18,England,Wales,2,1,Friendly,London,England,False,1.0,998.5033597223353,998.505748107913,999.0033620137774,998.0057458164708
1879-04-05,England,Scotland,5,4,Friendly,London,England,False,1.0,999.0033620137774,1002.9908921697518,999.5071876172462,1002.4870665662829
1879-04-07,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,1.0,998.0057458164708,1002.4870665662829,997.5100451364885,1002.9827672462652
1880-03-13,Scotland,England,5,4,Friendly,Glasgow,Scotland,False,1.0,1002.9827672462652,999.5071876172462,1003.4794327882645,999.010522075247
1880-03-15,Wales,England,2,3,Friendly,Wrexham,Wales,False,1.0,997.5100451364885,999.010522075247,997.0114847057739,999.5090825059616
1880-03-27,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False,1.0,1003.4794327882645,997.0114847057739,1003.9732276898337,996.5176898042047
1881-02-26,England,Wales,0,1,Friendly,Blackburn,England,False,1.0,999.5090825059616,996.5176898042047,999.0062125640459,997.0205597461204
1881-03-12,England,Scotland,1,6,Friendly,London,England,False,1.0,999.0062125640459,1003.9732276898337,998.5109778260043,1004.4684624278754
1881-03-14,Wales,Scotland,1,5,Friendly,Wrexham,Wales,False,1.0,997.0205597461204,1004.4684624278754,996.5277048553962,1004.9613173185996
1882-02-18,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,False,1.0,1000.0,998.5109778260043,999.4985714204453,999.012406405559
1882-02-25,Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,False,1.0,996.5277048553962,999.4985714204453,997.0305551049662,998.9957211708753
1882-03-11,Scotland,England,5,1,Friendly,Glasgow,Scotland,False,1.0,1004.9613173185996,999.012406405559,1005.4556101191515,998.5181136050071
1882-03-13,Wales,England,5,3,Friendly,Wrexham,Wales,False,1.0,997.0305551049662,998.5181136050071,997.5319822802683,998.016686429705
